filepath,filename,label,common_name,scientific_name,split,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_13_mean,mfcc_13_std,mfcc_14_mean,mfcc_14_std,mfcc_15_mean,mfcc_15_std,mfcc_16_mean,mfcc_16_std,mfcc_17_mean,mfcc_17_std,mfcc_18_mean,mfcc_18_std,mfcc_19_mean,mfcc_19_std,mfcc_20_mean,mfcc_20_std
train_audio/rubthr1/iNat334890.ogg,iNat334890.ogg,rubthr1,Rufous-bellied Thrush,Turdus rufiventris,train,-365.19708,15.044098,-109.72741,10.11874,-101.979805,13.614565,57.876938,12.486774,63.61139,10.65659,12.633802,10.415752,-5.2905903,10.7017145,-2.4735572,9.347476,-7.451639,8.069765,12.036294,7.4414005,6.423126,7.243748,6.348046,7.6892505,6.6259446,7.300528,1.8510565,6.539576,0.6749813,6.6657495,10.600828,5.7083545,-2.6226845,5.5988364,0.585856,5.5537863,5.612547,5.628001,4.877119,5.24007
train_audio/rubthr1/XC351066.ogg,XC351066.ogg,rubthr1,Rufous-bellied Thrush,Turdus rufiventris,train,-328.60727,24.189352,36.49986,8.825845,0.43208987,24.623152,49.516563,10.639033,3.6843143,20.078897,47.20044,12.974563,11.627933,15.806622,-38.29963,15.441184,44.897324,12.904535,-12.175867,14.617711,-0.67513007,12.12352,-2.4071379,13.319176,6.2365785,11.112752,27.301094,11.24358,-8.310975,9.271103,8.9756365,8.758335,12.312164,7.5377574,4.920967,7.909485,16.502733,7.6803303,0.29816872,7.481111
train_audio/rubthr1/iNat1318270.ogg,iNat1318270.ogg,rubthr1,Rufous-bellied Thrush,Turdus rufiventris,train,-387.97162,46.74853,104.89178,11.663581,-7.690051,14.226518,2.8618438,7.2468476,24.280537,11.612099,6.596131,9.098208,-2.642681,8.928965,-5.8119154,9.377849,4.6705556,7.6916018,2.2137742,8.627733,2.5819705,8.121308,-5.273525,7.04545,-3.9407203,8.179704,0.9498912,5.3515334,-0.77609265,6.6641498,-1.0617115,5.198559,-4.2186484,5.6095624,-2.2007093,4.9905243,-2.4883857,5.0857506,-0.9832037,4.742182
train_audio/rubthr1/iNat320486.ogg,iNat320486.ogg,rubthr1,Rufous-bellied Thrush,Turdus rufiventris,train,-341.93604,14.6596575,95.95622,8.2376585,4.204608,12.126001,39.072502,7.7205963,12.560276,8.781754,2.1721382,8.126283,14.928534,8.228079,4.461042,8.781572,9.420301,6.3159795,26.027597,7.1696453,-5.647377,7.5117908,16.005823,6.9614844,19.640162,7.81184,4.0830245,6.355916,4.2952113,7.2146235,1.9435467,6.2915134,-4.3098226,6.266116,5.3592734,6.6477165,4.062729,5.8447733,-2.382584,7.110091
train_audio/rubthr1/iNat140546.ogg,iNat140546.ogg,rubthr1,Rufous-bellied Thrush,Turdus rufiventris,train,-441.3345,23.003433,112.2266,10.99576,-17.746895,18.427036,-3.9756904,9.356291,15.7810955,16.039946,5.0546775,10.810325,-11.61791,13.144676,-1.7957423,11.48297,4.6750135,13.276154,4.2718434,11.635632,-6.843425,12.674667,-1.8357024,10.872217,-1.5113313,10.6866455,1.6236211,9.548671,-3.5793428,9.587111,-0.059219964,7.964705,-4.5095983,7.8735023,-2.3234932,7.6002183,-4.7550144,7.544253,-0.5024846,6.820727
train_audio/rubthr1/iNat1624732.ogg,iNat1624732.ogg,rubthr1,Rufous-bellied Thrush,Turdus rufiventris,train,-469.4039,23.614714,169.7295,17.700443,-32.086823,11.680626,12.791471,9.061642,13.47363,9.667614,22.637941,8.12137,2.7437527,7.1741896,16.647161,6.6702743,7.29133,6.403062,9.750147,7.829082,-1.0233303,6.7284265,-4.834893,8.707546,-6.117521,6.665784,-2.5676017,7.398473,-3.9655743,5.9672174,-1.8755355,6.359127,-4.3688326,5.332702,-3.3567512,5.8233333,-5.8780613,5.172482,-1.8399802,6.217385
train_audio/rubthr1/XC286714.ogg,XC286714.ogg,rubthr1,Rufous-bellied Thrush,Turdus rufiventris,train,-371.26013,34.079636,27.053324,21.325304,-67.48898,27.269314,28.555439,24.916119,15.297428,24.538795,-13.971317,20.777632,-14.565704,23.540108,-9.804854,19.13493,1.0343053,16.129526,-0.11529236,17.114578,-17.0494,17.07932,3.1530783,16.769867,1.2568381,12.636998,4.374615,13.576075,0.6329322,10.750906,-0.3113579,11.9757805,5.9892426,10.418899,-1.1790037,11.83453,2.9101603,9.661165,-3.6779757,9.245113
train_audio/rubthr1/iNat762495.ogg,iNat762495.ogg,rubthr1,Rufous-bellied Thrush,Turdus rufiventris,train,-413.52814,32.66353,110.68909,16.494343,-4.2066526,19.503736,41.7083,16.90452,-4.0678897,11.273481,9.375771,11.309242,21.364521,10.356936,-5.4825864,8.564159,6.5522704,9.439687,1.1361737,7.8223486,3.5311897,7.158063,0.88609743,7.421884,-3.8548439,6.3775225,4.70052,6.1719832,-4.9899726,6.0335817,-0.6101359,5.792841,1.5731711,5.550547,-4.6851363,5.300618,-0.861919,5.1548014,-0.6216411,5.005281
train_audio/rubthr1/iNat1626515.ogg,iNat1626515.ogg,rubthr1,Rufous-bellied Thrush,Turdus rufiventris,train,-468.76694,14.907218,139.2284,16.330156,20.664185,14.88048,-5.7471733,13.944658,11.9967165,13.921335,4.5878963,10.922422,-7.5467243,8.265493,1.2930382,10.128348,10.953508,8.617907,6.628823,8.648583,0.37105724,6.596315,1.3772677,7.9242015,3.5070865,8.287355,0.20250839,7.1387653,-1.844373,7.1902246,2.3615065,7.479042,4.321864,7.7234282,0.12878747,5.521038,-2.1037621,6.3357997,-0.5698387,6.020852
train_audio/rubthr1/XC82473.ogg,XC82473.ogg,rubthr1,Rufous-bellied Thrush,Turdus rufiventris,train,-169.18524,34.96099,-33.560154,7.5669923,-80.38781,15.758866,-14.518167,9.494003,-24.89486,8.724408,-14.147244,9.434408,-18.82206,7.318814,-3.658538,7.0487638,-25.05281,7.3923445,-6.6664352,6.9501276,-6.247187,6.669556,-16.661406,6.3460045,-11.449217,5.902174,2.7518785,6.05714,-15.33551,5.5985126,-7.4399242,5.0419827,-4.868718,5.2973027,-3.646918,4.493037,-11.730549,5.553964,2.849461,5.2507305
