filepath,filename,label,common_name,scientific_name,split
train_audio/rubthr1/iNat334890.ogg,iNat334890.ogg,rubthr1,Rufous-bellied Thrush,Turdus rufiventris,train
train_audio/rubthr1/XC351066.ogg,XC351066.ogg,rubthr1,Rufous-bellied Thrush,Turdus rufiventris,train
train_audio/rubthr1/iNat1318270.ogg,iNat1318270.ogg,rubthr1,Rufous-bellied Thrush,Turdus rufiventris,train
train_audio/rubthr1/iNat320486.ogg,iNat320486.ogg,rubthr1,Rufous-bellied Thrush,Turdus rufiventris,train
train_audio/rubthr1/iNat140546.ogg,iNat140546.ogg,rubthr1,Rufous-bellied Thrush,Turdus rufiventris,train
train_audio/rubthr1/iNat1624732.ogg,iNat1624732.ogg,rubthr1,Rufous-bellied Thrush,Turdus rufiventris,train
train_audio/rubthr1/XC286714.ogg,XC286714.ogg,rubthr1,Rufous-bellied Thrush,Turdus rufiventris,train
train_audio/rubthr1/iNat762495.ogg,iNat762495.ogg,rubthr1,Rufous-bellied Thrush,Turdus rufiventris,train
train_audio/rubthr1/iNat1626515.ogg,iNat1626515.ogg,rubthr1,Rufous-bellied Thrush,Turdus rufiventris,train
train_audio/rubthr1/XC82473.ogg,XC82473.ogg,rubthr1,Rufous-bellied Thrush,Turdus rufiventris,train
train_audio/rubthr1/XC293500.ogg,XC293500.ogg,rubthr1,Rufous-bellied Thrush,Turdus rufiventris,train
train_audio/rubthr1/XC763360.ogg,XC763360.ogg,rubthr1,Rufous-bellied Thrush,Turdus rufiventris,train
train_audio/rubthr1/iNat1662806.ogg,iNat1662806.ogg,rubthr1,Rufous-bellied Thrush,Turdus rufiventris,train
train_audio/rubthr1/iNat798410.ogg,iNat798410.ogg,rubthr1,Rufous-bellied Thrush,Turdus rufiventris,train
train_audio/rubthr1/XC82482.ogg,XC82482.ogg,rubthr1,Rufous-bellied Thrush,Turdus rufiventris,train
train_audio/rubthr1/iNat148783.ogg,iNat148783.ogg,rubthr1,Rufous-bellied Thrush,Turdus rufiventris,train
train_audio/rubthr1/XC394552.ogg,XC394552.ogg,rubthr1,Rufous-bellied Thrush,Turdus rufiventris,train
train_audio/rubthr1/iNat334710.ogg,iNat334710.ogg,rubthr1,Rufous-bellied Thrush,Turdus rufiventris,train
train_audio/rubthr1/iNat772218.ogg,iNat772218.ogg,rubthr1,Rufous-bellied Thrush,Turdus rufiventris,train
train_audio/rubthr1/iNat852442.ogg,iNat852442.ogg,rubthr1,Rufous-bellied Thrush,Turdus rufiventris,train
train_audio/rubthr1/XC611393.ogg,XC611393.ogg,rubthr1,Rufous-bellied Thrush,Turdus rufiventris,train
